,comment,rate
1764,güzel bir ürün,4
1765,gayrt güzel,5
1766,Teşekkürler,3
1767,Daha önce de bir çok poverbank kullandım ama bu en iyilerinden kesinlikle,5
1768,cok iyi bir cihaz,5
1769,cok iyi tavsiye ederim,5
1770,Çok iyi beklentimin üstünde çıktı emeği geçen herkese teşekkürler 😊,5
1771,cok memnun kaldim,5
1772,Gayet güzel 👍🏻,5
1773,İyi ki almışım mükemmel,5
1774,Gayet başarılı.,5
1775,ürüm gayet iyi tavsiye ederimm.,5
1776,kullanıyorum güzel,4
1777,harika gerçekten çok memnunum,5
1778,çok kaliteli,5
1779,"başarılı, kaliteli",4
1780,gayet iyi 👍,4
1781,tavsiye ederim çok kaliteli,5
1782,Kaliteli bir ürün tesekkürler,5
1783,Başarılı önerilir 👍🏻,5
1784,Ürün gayet kullanışlı ve iyidi tavsiye ederim,5
1785,"Ürün güzel, şık ve kibar. Teşekkürler",5
1786,Çok iyi dayanıklı bi ürün,5
1787,süper ve kaliteli tavsiye ederim,5
1788,Kaliteli bir ürün,5
1789,Hem uygun hemde çok kaliteli aldığıma pişman olmadığım bir ürün👍👍,5
1790,👍👍 çok iyi,5
1791,Teşekkürler :),5
1792,Birkaç gündür kullanıyorum güzel tavsiye ederim...,5
1793,güzel bir ürün,3
1794,Şimdilik iyi görünüyor,5
1795,Harika bi urun gercekten tavsiye ederim,5
1796,ürün tam istediğim gibiydi çok güzel teşekkürler,5
1797,urun harika,5
1798,Gayet uygun ve kullanışlı,5
1799,Hoş ve şık bir ürün,5
1800,Çok beğendik kaliteli ve uygun,5
1801,Çok güzel teşekkür ederim 👍🏻,5
1802,Ürün çok başarılı..,5
1803,cok iyi ve çok kibar 👌,5
1804,teşekürler kaliteli ürün,5
1805,gercekten cok iyi,5
1806,Çok beğendim,4
1807,tskr urun tam istedigim gibidi,5
1808,Ürün çok güzel,5
1809,Güzel ürün,4
1810,çok güzel bir ürün çok memnun,5
1811,Güzel beğendim,4
1812,ürün çok iyi. bir arkadaşımın tavsiyesi üzerine satın almıştım. memnunum :),5
1813,cok iyi bir ürün,4
1814,güzel ürün teşekkür ederim,5
1815,çok kaliteli bir ürün,5
1816,Hem uygun hem kaliteli,3
1817,Başarili bir urun,5
1818,tavsiye ederimm,5
1819,güzel ürün,5
1820,Harika ürün,5
1821,çok güzel bir urun,5
1822,begendim ürünü,5
1823,Güzel ürün.,4
1824,Çok güzel bir ürün,5
1825,Gayet güzel bir ürün,5
1826,Güzel ürün,4
1827,Kaliteli gibi duruyor,5
1828,Çok teşekkür,5
1829,ürün güzel. mükemmel,4
1830,ilk kullanım çok iyi devamını bekleyip göreceğiz memnunuz,5
1831,Güzel ....,3
1832,çok memmunum,5
1833,mükemmel ürün,5
1834,Çok iyi beğendim,5
1835,hos ve guzel bir ürün,5
1836,duruşu şık,5
1837,👍👍👍👍 geçerli,5
1838,Kalitesiz tavsiye etmem.,2
1839,urun kaliteli,4
1840,performans oldukça şaşırtıcı teşekkürler,5
1841,Beğendim her şey güzeldi,5
1842,oldukça güzel bir ürün..,5
1843,gayet iyi 3 kere gidiyor ve artıyor,5
1844,Gayet iyi bir ürün,5
1845,Cok güzel diyemem ama idare eder,3
1846,Çok iyi bayıldım,5
1847,güzel 👍👍👍👍,5
1848,harika çok memnun kaldımm,5
1849,10/10 ürün cok iyi,4
1850,Güzel ve kaliteli bir ürün,4
1851,Kaliteli ürün,5
1852,Arada kullanıyoruz işte,5
1853,Çok güzel Bi ürün teşekkür ederim,5
1854,süper fıstık gibi,5
1855,ürün göründüğü gibi harika,5
1856,Ürün güzel gözüküyor,5
1857,teşekkürler .....,5
1858,Gayet başarılı güzel kesinlikle tavsiye ederim,5
1859,Güzel Beğendim,4
1860,🙏🌹 Çook  Başarılı,5
1861,Kaliteli bir ürün,5
1862,Şu anlık iyi.  Bir sıkıntısı ile karşılaşmadım,4
1863,bayıldım çok iyi bence almalı herkes,5
1864,Güzel ürün,4
1865,simdilk super gidiyo ins bozulmazz,5
1866,gayet memnunum,5
1867,çok güzel ve kaliteli tavsiye ederim,5
1868,Ürün kaliteli duruyor beğendim...,5
1869,Ürünü kullanıyorum şimdilik iyi,4
1870,Çok güzel ürün ama inşallah uzun gider,4
1871,Cok güzel begendim,5
1872,ince şık ve gayet sağlam.,4
1873,Şuana Kadar Aldığım En İyi Powerbank Tasarımı Ve Kalitesi Süper.,5
1874,kaliteli bir ürün,5
1875,cok iyi tavsiye ederim,5
1876,Güzel bir ürün,4
1877,İhtiyacımı karşıladı,5
1878,Ürün gayet güzel,5
1879,gayet güzel,5
1880,Mükemmel 👊🏻🎈,5
1881,Güzel ürün herkese tavsiye ederim,5
1882,harika muthiş,5
1883,kaliteli ve güzel bir ürün.  işimi görüyor...,5
1884,kaliteli bir ürün,5
1885,"Bütçe dostu, kaliteli ürün 👍🏻",5
1886,Memnun kaldım.,4
1887,çok güzel bayıldım,5
1888,Guzel uygun ürün,5
1889,Süper ötesi,4
1890,Cok memnun kaldım 🙏tesekkur ederiz,3
1891,👍🏻👍🏻👍🏻❤️❤️😘😘🥰🥰🤩,5
1892,Teşekkür ederim cok mumnun kaldim ürün kaliteli,5
1893,İyi güzel hoj,5
1894,çok güzel  memnun kaldım..,5
1895,Ürün guzel. zarif.,5
1896,tavsiye ederim,5
1897,ürün gerçekten göründüğü gibi ve kaliteli tavsiye ederim,4
1898,çok güzel bir ürün tavsiye ederim 😊,5
1899,Çok kaliteli bi ürün,5
1900,Ürün istediğim gibi kaliteli,5
1901,Fena değil,2
1902,Guzel begendim,5
1903,Tavsiye ederim.,5
1904,Harika ürün ❤️,5
1905,çok iyi performans süper güç.,5
1906,Çok güzel çok memnun kaldım tavsiye ediyorum,5
1907,Beklentinin üzerinde,5
1908,Begendim şimdilik güzel,5
1909,Bakalım deneyip göreceğiz,3
1910,inanılmaz harika bir ürün,5
1911,Kaliteli ürün,5
1912,güzel yani beğendim,5
1913,aga çok iyi,5
1914,Güzel ürün,3
1915,Gayet iyi beğendim 👍🏻,5
1916,Ürün iyi gayet kullanışlı,5
1917,gayet güzel,5
1918,Güzel bir ürün,5
1919,Gayet güzel ürün ilgili arkadaşlarlara teşekkürler.,5
1920,Mükemmel !,5
1921,Harika. Tavsiye ediyorum,5
1922,Kaliteli bir ürün,5
1923,Gayet güzel,5
1924,Gzl Bi ürün 4 kere filan şarz ediyorum,5
1925,Beğendim alınabilir ama ağır,5
1926,güzel görünüyor,5
1927,çok iyi hizmet bayıldım💕,5
1928,oldukça kaliteli ve yeterli kapasitede bir ürün. Gerekli işlevini fazlası ile başarıyor.,5
1929,Güzel ürün,5
1930,çok memnun kaldi.m,5
1931,Mükemmel bir ürün,5
1932,urun gayet kullanisli,5
1933,Harika ürün fakat aşşırı ağır😁,5
1934,guzel gorunuyor,4
1935,Samsung Galaxy S8 cihazım için satın aldım ürün gayet güzel,5
1936,Hem uygun hem kaliteli teşekkürler trendyol,5
1937,ıyi  bi ürün  beyendim,4
1938,gayet guzel,5
1939,Gayet başarılı,5
1940,güzel urun,5
1941,Çok memnun kalmadım,2
1942,begendim gayet iii,5
1943,Teşekkürler,5
1944,"Şık, göründüğü gibi",5
1945,"urun çok,güzel,çok kaliteli tavsiye ederim",5
1946,nice product,5
1947,çok beğendim.,5
1948,uryn gayet guzel kaliteli,5
1949,güzel kaliteli begendim,5
1950,Mükemmel bir ürün,5
1951,öyle bişey işte,5
1952,Sorunsuz elime geçti memnunum,5
1953,Çok  güzel harika,4
1954,Daha kullanamadım ama dış görünüşü kaliteli,5
1955,yeni elime gecti.hızlı doldurdu şu an için gayet iyi gözüküyor..,3
1956,👍Güzel ürün tavsiye ederim,5
1957,Gayet güzel 👍,5
1958,Uygun ve güzel bir ürün.,4
1959,Beklediğimden güzel,5
1960,güzel bi ürün,5
1961,Çok güzelll,5
1962,Çok teşekkür ediyorum süperrr bi ürün,5
1963,güzel kaliteli,5
1964,Ürün çok kaliteli ve uygun tavsiye ederim,3
1965,Cok şık ve pratik 🍀,5
1966,ürün çok güzel çok kaliteli bir ürün teşekkürler,5
1967,Gayet güzel tşk,5
1968,Çok güzel bi ürün çok teşekkür ederim,5
1969,Süper  tavsiye ediyorum,5
1970,Fp ürünü  bence işinizi fazlasıyla görür,4
1971,basarili bir urun,5
1972,Guzel dıgerlerıne gore harıka dıye bılırım fıyatına gore,5
1973,güzel beklediğimden daha iyi,5
1974,başarılı bir ürün,5
1975,Gayet güzel,5
1976,baya guzel,5
1977,"Çok başarılı bir ürün, çok memnunum.",5
1978,Beklentimi karşıladı ürün güzel 👍🏻,5
1979,Kaliteli ve güvenilir bir ürün,5
1980,Çok güzel tavsiye ediyorum 👍🏻,5
1981,Güzel ben memnunum,4
1982,memnun kaldım,5
1983,sağlam ve güzel,5
1984,gerçekten harika işimi fazlasıyla görüyor şimdilik pişman olmadım umarım da olmam,5
1985,Başarılı 👍🏻,5
1986,teşekkürler,5
1987,guzel urun kalitesini zaman belirleyecek,2
1988,Müthiş harika harika ürün,5
1989,Çok çok iyi,5
1990,İyi bir ürün severek kullanıyorum,4
1991,Baya iyi dolduruyor,5
1992,Gayet güzel 😊,5
1993,Henüz kullanmadım ama görünüş açısından estetik duruyor.,5
1994,Güzel bir ürün,5
1995,başarılı bi ürün yanımızdan ayırmıyoruz,5
1996,Güzel bi ürün,5
1997,cok iyi  bir urun cok begendim ,5
1998,"başarılı bir powerbank, 1 haftadır sorunsuz kullanıyorum",5
1999,Mükemmell,5
2000,Ürün tam bir fp canavarı 59₺ ye aldım şekli de çok hoş.,5
2001,Süper 👍👍👍👍👍👍,5
2002,Gerçekten şık ve güzel bi powerbank.,5
2003,gayet güzel,5
2004,Çok güzel ürün kesinlikle tavsiye ediyorum,5
2005,hayat kurtarici,5
2006,Gayet iyi 👍🏻,5
2007,Çok memnun kaldım beklediğimden daha sağlam,5
2008,Çok iyi memnunum,5
2009,Urunun plastigi daha iyi olabilir,3
2010,Çok memnun kaldım,4
2011,Gayet güzel,5
2012,Çok iyi tavsiye ederim,5
2013,Çok kullanışlı ve kaliteli teşekkür 🌷,5
2014,Ürün iyi👍🏻 rahatlıkla alabilirsiniz,5
2015,Çook iyi. Tavsiye ederim,5
2016,is gorur güzel,5
2017,Arkadaşlar markanın önemi yok. Fiyatına oranla 10.000 mAh kapasite ve hızlı şarj özelliği süper!,5
2018,"2,5 kez sarj ediyor. Kargo hızlı geldi",4
2019,kargolaması güzeldi herşeyi tam eksiksiz elimize ulaştı iki gün kullanabilecek şarz a sahip,5
2020,fiyatına göre gayet iyi beyazını kullanıyordum zaten fiyatını görünce tekrar almak istedim günde 3 kez şarj edebiliyoruz,5
2021,Kullanışlı yer kaplamıyor normal telefon boyutundq,4
2022,Piyasaya göre fiyatı oldukça uygun bir ürün fazladan para vermeye gerek yok oldukça da güzel hemen şarj oluyor,5
2023,ürün fiyat performansı çok iyi ama biraz yavaş dolduruyor,4
2024,Erkek arkdaşım için almıştım 2-3 defa tam şarj ediyor memnun,5
2025,Ürün güzel kablosunu sz şarj aletinizden takıyorsunuz 2 tam dolduruyor 3. De yarım çeyrek olarak dolduruyor. Tavsiye ediyorum,4
2026,Gerçekten ürünü çok beğendim çok güzel şarj ediyor tavsiye ederim Yanında şarj etme kablosu da geldi,5
2027,Kargolamasi güzeldi guzel paketlemişti daha kullanmadım performansını göreceğiz,5
2028,Gerçekten tasarımı çok güzel hoşuma gitti. Ürün güzel paketlenmiş teşekkür ederim :),5
2029,Gayet başarılı ve özenli kargo teşekkürler,5
2030,Gayet özenli bir şekilde geldi çok memnun kaldım.,5
2031,fiyat performans ürünü güzel iki defa Şarz edebiliyorsunuz ben beğendim tek sıkıntı kendini doldurmak uzun sürüyor,5
2032,Ürün elime 3 gün içinde geldi. Şu an çok memnunum gayet güzel kaliteli boyutu da iyi taşınabilir. Teşekkürler özellikle hızlı teslimattan dolayı.,3
2033,hızlı teslimat daha kullanmadım ama dış görünüşü ince ve güzel çok geniş değil.,5
2034,Hızlı kargo. Daha deneme fırsatı bulamadım fakat boyutu ağırlığı çok iyi.,5
2035,ürün teslimatı çok hızlı fakat ürün tahminimden biraz büyük gibi olmasına rağmen şu an için performans olarak gayet başarılı,4
2036,Güzel hızlı şarj oluyor ve 2 zorlasan 3 kez şarj eder. Ağırlık sorun olmazsa öneririm. Fiyatı diğerlerine göre oldukça iyi.,5
2037,Ürün iyi güzeldi ama uzun süre faydalanamadım. Satın almamın üzerinden sadece birkaç ay geçmesine rağmen çeyrek şarj bile yapamayacak hale geldi..,3
2038,Memnun kaldım 4 kere falan şarj ediyor,4
2039,3 gün kullandım sonra ise şarj etmeye çalıştığımda şarj etmedi bir sürü şarj aleti denedim hiç güzel değil,1
2040,5 defa şarj edebiliyorum gayet iyi,5
2041,İyiki almışım asla şarjsız kalmıyorum :),5
2042,Sarj etmesi cok yavas ayrıca bittikten sonra 2 gün sarjda kalıyo kendini anca yeniliyor,1
2043,2 kere kesin şarj ediyor. 3.nün yarisinda falan kapaniyor cok is gorur harika,5
2044,hiçbir problem yaşamadım fazlasıyla hızlı da şarj ediyor mükemmel,5
2045,Güzel beğendim çalışıyo bi sıkıntı çıkmadı 2 günde elimdeydi tam fiyat performans ürünü,5
2046,Güzel ürün fakat biraz boyutu büyük geldi bana,5
2047,Kaliteli Ürün fiyat performans ürünü ancak bana biraz yavaş doluyor gibi geldi. Şarz etme hızı başarılı,4
2048,Ürün yavaş sarj oluyor ama hızlı dolduruyor güzel birazda ağır fiyatına göre iyi bir ürün,4
2049,ürün çok iyi telefonu 4 5 defa tamamen dolduruyor tek şarjda tam f/p ürünü,5
2050,fiyat performans açısından çok iyi.  ince ve kolay taşınır olmasından memnun kaldım,4
2051,Ürün boyut olarak gayet iyi ve kaliteli fiyat performance gayet iyi tesekkurler.,4
2052,fazladan para vermenize gerek yok pahali urunlerle ayni islemi gören bir urun,5
2053,orta seviye parasına göre güzel,4
2054,fiyatına göre ideal hızlı dolduruyor teşekkürler,4
2055,Dusunmeden alın derim bu fiyata iyi,5
2056,ürünün fiyatı uygun ve uzun süre gidiyor tavsiye ederim.,5
2057,fiyatına göre gayet kaliteli severek kullanıyorum ve 3 kere falan net şarj ediyor telefonumu teşekkürler 🤗,4
2058,Bu fiyata bu kaliteyi beklemiyordum kesinlikle değerlendirilmeli,5
2059,agır bir cihaz  ama  piyasada da bu fiyata bulunmaz. samsung tlf 4 defa şarj ettim,5
2060,Kullanışlı,5
2061,"Bu ürünü arkadaşım için aldım, çok memnun üründen. Ben dexim in başka bir modelini kullanıyordum benim tavsiyemle aldı bu ürünü. Ağır değil taşınması kolay. Ortalama 2-3 defa doldurur ortalama bir telefonu",5
2062,"almak isteyen hic düşünmeden alsin ,ayfin 7 4 kere şarj ediyor.",5
2063,Çok memnunum ilk çok tereddüte kaldım ama gayet güzel dokusu çok güzel kaliteli duruyor ve 3 4 kez dolduruyor  hafif çok ağır değil aklınızda şüphe kalmasın gerçekten çok güzel ve ben sepete ekleyip  indirimde olunca aldım 60 TL den 50 tl ye kargo bedava aldım gayet de memnunum,5
2064,Çok güzel iphone 6 yı 5 defa şarj ediyo hiç oynamadan şarj edersem,5
2065,İçinde kısa şarj kablosu ile geldi. Paketleme güzel. 1 tam şarj yaptı 2. yide yapacak gibi duruyor. Boyutu telefon kader beğendim.,3
2066,Hediye almıştım 2 kere dolduruyormuş,5
2067,hızlı şarj ediyor,4
2068,Oldukça hızlı şarj ediyor ve uzun süre kullanılıyor,5
2069,Aşırı iyi ve hızlı şarj dolduruyor,5
2070,Hızlı teslimat ve çok güzel bir ürün xiaomi 10 000 lik de var evimde ikisinide kullanıyorum ama bu ürün gercektende xiaomi ye göre  hem hafif hem kibar ve çokdaha kullanışlı,5
2071,fiyatına göre gayet güzel 3 kez şarj ediyor,5
2072,Ürünü alalı 1 ay gbi bir zaman oldu yaklaşık 6 saattir şarjda ama şarj etmiyor napmam gerekiyor,5
2073,Ne yazık ki 1 ay bile kullanamadan bozuldu açılmıyor şarj etmiyor 👎🏻,1
2074,Birkaç gündür kullanıyorum. Telefonum ısınıyor. Kendisinde ısınma yok. Sonuna kadar kullanmadım şarjı ama bir kez dolum yaptığımda uzun süre telefonu kullanıyorum. Beğendim diyebilir. İade etmeyeceğim.,4
2075,Gayet şık ve kısa sürede şarj ediyor takılan cihazı.,5
2076,herkese tavsiye ederim on numara beş yıldız 10000 wolt fennna kullanişlida,5
2077,uzun zamandır kullanıyorum. biraz büyük ve ağır fakat iş görüyor,5
2078,f/p ürünü telefonumu 4-5 kez tam şarj edebiliyo,5
2079,Ürünü bugün teslim aldım gayet güzel kaliteli duruyor fiyatına göre zaten çok çok iyi,5
2080,ürün hızlı geldi ve çok hızlı şarj ediyor memnun kaldim,5
2081,Teslimat hızlıydı ıphone6 kullanıyorum 6-7 kere sarj ediyo uzun süre kullana biliyorum çok büyük bi kurtarıcı oldu benim için,5
2082,gayet iyi kullanılır,4
2083,Ürün kaliteli ve çok güzel çok fazla ağırlık yapmıyor pratik kargoda hızlıydı satıcıya teşekkür ederim ☺️,5
2084,Çok güzel tavsiye ederim,5
2085,Arkadaşlar ürün 15 gündür gelmiyor bileğiniz olsun. Kaliteli de değilmiş iade ettik biz,1
2086,Çok beğendim 7 plusı çok hızlı şarj etti hatta aynı anda telefonda gezerken.,5
2087,Çok kullanışlı. Oldukça hızlı şarj ediyor.,5
2088,Çok iyi çok hızlı şarj ediyor,5
2089,Valla çok güzel hızlı şarj ediyor iPhone 8 de kullanıyorum zehir gibi,5
2090,malesef 1kere sarj ediyor,2
2091,Çok zarif duruyor ve hızlı şarj ediyor herkese tavsiye ederim hem uygun fiyatlı hem kaliteli,5
2092,Çok kaliteli. Hızlı şarj ediyor.,5
2093,Çoğu powerbankten iyi hızlı şarj ediyo,5
2094,Gayet iyi bir ürün hızlı şarj yapıyor,1
2095,Çok hızlı şarj ediyor harika tavsiye ederimm,5
2096,Hızlı şarj ediyor,4
2097,Çok güzel hızlı şarj olup hızlı şarj ediyor tavsiye ederim,5
2098,Çok hızlı şarj ediyor,4
2099,Kaliteli ürün,5
2100,Uzun süredir kullanıyorum güzel bir ürün,5
2101,Üründen memnun kaldım.,5
2102,ürün güzel ve saglam duruyor tavsiye ederim,5
2103,Kaliteli kullanışlı,5
2104,gayet iyi alın derim,5
2105,çok güzel bravo,5
2106,tavsiye ederim gayet iyi,5
2107,1 yıldır kullanıyorum tavsiye ederim çok güzel,5
2108,f/p ürünü hafif ve boyutunun küçük olması avantaj,5
2109,"malzeme kalitesi pek iyi değil fiyatına göre ne beklenirse yani, şarj süresi uzun ama full şarjdan sonra kullanma süreside uzun o yüzden f/p bir ürün tabi bütçeniz varsa daha iyilerine bakın derim",4
2110,Kargo sorunsuz ve hızlı. Ürün biraz ağır geldi bana. Ama hızlı şarj ediyor.,5
2111,ürün çok güzel 3 kez şarj ediyor paketlemede güzeldi,5
2112,teşekkürler iyi günler,5
2113,kalıtelıııııı,5
2114,tesekkurler,5
2115,çok güzel beklentimin üstünde,5
2116,Çok dayanıklı,5
2117,Power işte gayet iyi çalışıyor,5
2118,güzel tavsiye edebilirim,5
2119,çok harika bi ürün,5
2120,iş görür güzel,5
2121,mükemmel bir ürün,5
2122,Hayat kurtarıcı bir ürün çok memnunum,5
2123,ürün başarılı,5
2124,Ürünü 2 yıl önce aldım çok kaliteli çıktı,4
2125,Güzel ürün gayet iyi figaf performans ürünü,5
2126,"ürün çok güzel, telefonu 2- 3 kez şarj ediyor",4
2127,çok yavaş şarj oluyor pek beğenmedim,2
2128,hızlı şarj ediyor,5
2129,harikaaaa ve boyutu da gayet ideal ne çok büyük ne cok küçük,5
2130,Fiyatına göre çok iyi bir ürün iPhone’u 3-4 kere şarj ediyor .,5
2131,Ürün çok uygun ve gayet kaliteli. Hızlı şarj ediyor,5
2132,Gerçekten baya iş görür günde 4-5 kere şarj ediyorum kalitesi yüksek tavsiye ederim,5
2133,"Kullanışlı, boyutu ideal at çantaya bak keyfine",5
2134,Çok güzel kaç kere yere düşürmeme rağmen kırılmadı herkese öneriyorum tüm sevdiklerime aldım .,5
2135,Ağırlığı güzel boş yorumlara takılmayın. Çok duruyor ama aman aman bir kalite hissettirmiyor. Fiyatına değer mi bilmiyorum ama hızlı falan şarj etmiyor.,2
2136,Trendyol express farkını gösterdi kargom 2 günde geldi henüz denemedim ama kaba değil gayet makul bir ürün bu fiyata alınır yorumlara bakarak aldım gayet güzel,5
2137,kullanışlı ve alınması gerekenlerin başında geliyor 2 kere rahat şarj ediyor,5
2138,Şu ana kadar sıkıntısız şekilde kullanıyorum fiyata göre performansı iyi sadece geç tam dolum yapıyor ama iki-üç kez şarj yapıyor,5
2139,Çok işe yarıyor . Şarj süresi de çok uzun değil,5
2140,"Dört dörtlük bir cihaz. 5 gün önce tamamını bitirip şarj ettim, bugüne anca bitti.",5
2141,fiyat performansı açısından çok iyi boyutu da çok büyük değil kolayca taşıyabilecegimiz sekilde,5
2142,fiyatına göre gayet makul bir ürün olduğunu düşünüyorum. aldığımdan bu yana kullanıyorum 3 gündür gayet güzel,5
2143,Gayet güzel hızlı şarj ediyor,5
2144,hızlı şarj ediyor ve uzun süre gidiyor çok memnun kaldım,5
2145,kaliteli guzel blr ürün,5
2146,Aylardır kullanıyorum harika bir ürün,5
2147,çok ince ve kibar,4
2148,Performansı süper,5
2149,Alalı 1 sene olacak memnunum güzel ürünn,5
2150,gayet güzel,4
2151,Kaliteli ve güvenli,5
2152,çok beğendim..başarılı,5
2153,Çok hassas dikkat edin düşürmeyin diğer türlü gayet iyi,5
2154,Kaliteli ürün.,5
2155,Oğlum cok beyendi tşkr ederim,5
2156,iyiki almışız çok kullanışlı,5
2157,memnun kaldım,5
2158,Çok memnunum tavsiye ediyorum alacak olan herkese👍👍👍,5
2159,daha ne olsun elektrik olmadığı yerde gayet başarılı,4
2160,idare eder,4
2161,Yanımdan ayırmaz oldum. 👍🏻,5
2162,Biraz geç geldi ama iyi bir cihaza benziyor,5
2163,Ürünü beğendim çok güzel ve çabuk geldi,5
2164,ürünü bugün teslim aldım ve çok beğendim henüz kullanmadım.,5
2165,Çok hızlı teslim edildi çok teşekkür ederiz,5
2166,erken geldi. sıkıntısız çalışıyor.,4
2167,kargo çok hızlı geldi ürün gayet kullanışlı.teşekürler.3 kez falan tel sarj ediyor,5
2168,Gayet güzel bir ürün üç dört kere şarj ediyor,5
2169,Biraz geç doluyor ama dört kere şarj edebiliyor.,5
2170,3 4 kere şarj ediyor çok güzel bir ürün,5
2171,Ürün fiyatına göre çok iyi benim telefonumu dört kere şarj ediyor. Çok memnunum,5
2172,fiyat performans açısından çok iyi ürün. boyu telefon boyunda hatta bazı telefonlardan ufak bile sayılır. ağır biraz ama rahatsız edecek kadar değil slim ve 10bin mah ürünler genelde 120 TL'den başlıyor. bu daha ekonomik o yuzden tavsiye ederim,5
2173,Kargo cok hızlı 2 gunde elime ulaştı sadece plastik korumalığı kırık geldi sırt yorumlara dayanarak aldım umarım iyidir ama usb kablosu biraz kısa,4
2174,Fiyatına göre gayet güzel bir ürün ince ve küçük çok güzel...,5
2175,Ben aldım hatta ikinci bir defa daha aldım çok hızlı şarj ediyor.. Ve üç. Kere dört kere ful doldurursanız telefonunuzu şarj ediyor. Memnun kaldım bu fiyata bu kalite muazzam..,5
2176,5 defa şarj ediyor çok iyi,5
2177,Çok güzel en az iki defa full şarj ediyor,5
2178,sarjsiz kaldığım zamanlarda imdadıma yetişiyor kısa sürede dolduruyor.,5
2179,"Ürün kullanışlı, tam şarj ettikten sonra 3 kez telefonu full şarj yaptı.",5
2180,Çok güzel geldi samsun a8i 3 defa şarj ediyor,5
2181,Güzel bir ürün... şarj edildikten sonra 2 defa şarj ediyor telefonu,4
2182,Fiyat performans,5
2183,"Aldim kullaniyorum ve cok memnununum, tesekkurler dexim",5
2184,Çok ağır değil hızlı dolduruyor güvenli,5
2185,Askerdeyken aldım çok iyi iPhone 6s plus üç defa şarz ediyor 9 ay oldu halen kullanıyorum bir problem yok,5
2186,Ürün fiyatına göre gayet iyi performans gösteriyor 4. Işık göstergesi yanmıyor bi de beklediğimden ağır geldi bu fiyata bu kadar olur demek lazım :),3
2187,"Çok güzel ne çok ağır ne çok hafif, telefonumun bataryası çok kötü durumda olduğu için aldım çok kurtarıcı oldu.",5
2188,Aldığım en güzel powerbank,5
2189,Kırmızı rengi gönderildi ama gayet iyi.,5
2190,"Mükemmel çok kaliteli görünüyor iyi ki almışız, sadece USB kablosu çok aşırı kısa",5
2191,ürün başarılı. makul sürede şarj ediyor. sadece biraz ağır.,4
2192,"Gücü yüksek ve uzun süre şarjı giden bir alet,sadece uzun sürede şarj oluyor ama yapısı ve rengi çok hoş",4
2193,Çok beğendim,5
2194,Gayet sağlam bir şekilde ulaştı 2 gün içinde bir kaç kere kullandım oldukça iyi,5
2195,Bir yerden sonra batarya şişti. Bir de bazen soketler içeri kaçıyor. Şarj etme konusunda memnunum.,3
2196,Mükemmel gidiyor şarjı ba yıl dımmm...,5
2197,"Yaklaşık 2 aydır kullanıyorum, güzel bir ürün. 3 4 kere sarj ediyor. Kısa sürede elime ulaşmıştı.",5
2198,ürün hızlı şarj ediyor,5
2199,7 aydır kullanıyorum harika bir powerbank. hızlı şarj ediyor,5
2200,Çok iyi telefonum iphone 6s 4 kere şarj ediyor,5
2201,çok iyi bu fiyata bulunamaz bir taşınabilir şarj aleti.,5
2202,Ürün tam olarak fiyat performans ürünü şarj olma süresi ve telefonu şarj etme süresi çok hızlı. Uzun vade de ne getirir onu bekleyip göreceğiz ama ilk izlenimlerim gayet güzel. Tek sıkıntısı beklediğimden ağır olması iphone6 kullanıyorum telefonumdan daha ağır.,4
2203,ürün başlangıçta gayet güzeldi ancak usb ve şarj yeri içine kaçtı 1 hafta kullanabildim. paranıza yazık etmeyin 20 -30 tl fazla verin daha kaliteli bişey alın derim.,1
2204,hizli sarj telefonlari cok hizli etmesede digeri icin iyi bu fiyata super hatta,5
2205,Telefonumu 3 kere şarj ediyor çantamdan ayırmıyorum 🙏🏻 teşekkürler,5
2206,Çok sevdik huamei mi 3 kere şarj ediyor minik hoş,5
2207,güzel begendim,5
2208,Kalite performans ürünü başarılı,5
2209,severek kullanıyorum çok kullanışlı,5
2210,ben beğendim,5
2211,Hem kibar hem kullanışlı. Bir yıldır kullanıyorum.,5
2212,Severek kullanıyorum,4
2213,Çok güzel bir power tavsiye ederim,3
2214,çok sağlam ya çok hoşuma gitti,5
2215,gayet güzel,5
2216,Kaliteli güzel bir ürün,5
2217,iş gördüü üüüüüü,5
2218,harika bi urun tavsiye ederim,5
2219,Çok güzel beğendim,5
2220,Gayet güzel bir ürün,5
2221,Güzel arkadaşlar telefonumu 3 kere %100 yapabiliyorum elektrik kesintisinde veya uzun yolda çok işime yaradı.,5
2222,üründen memnun kaldım.,4
2223,guzel beğendiimm,5
2224,"f/p ürünü. çok ağır değil, çok kalın değil. iphone 6'yı 3 kere fulleyebiliyor. indirimden daha uygun fiyatlarada alabilirsiniz. tavsiye ederim.",5
2225,çok iyi bir ürün 2 defa telefonum şarj oluyor,5
2226,3 kez tam şarj ediyor çok başarılı 👍,5
2227,sorunsuz geldi 3-4 defa şarjı full ediyor,5
2228,fiyatı çok uygun,5
2229,Çok uygun fiyata ve güzel,5
2230,fiyatına göre güzel bir ürün,5
2231,fiyatına çok uygun,5
2232,Kaliteli ve uygun fiyat teşekkür ederim,5
2233,fiyat performans açısından çok kullanışlı güzel bir ürün,5
2234,Fiyat düşük olduğu için fazla performans beklemeyin!.,5
2235,Güzel cihaz indirim li aldım fiyatına göre başarılı bir ürün.,5
2236,Fiyatina gore guzel urun,5
2237,guzel fiyatina gore,5
